Ssumday,100 Thieves,Top
AnDa,100 Thieves,Jungle
Ryu,100 Thieves,Mid
Bang,100 Thieves,Bot
Aphromoo,100 Thieves,Support
Brandini,100 Thieves,Top
Levi,100 Thieves,Jungle
Huhi,100 Thieves,Mid
Stunt,100 Thieves,Support
pr0lly,100 Thieves,Head Coach
Licorice,Cloud9,Top
Svenskeren,Cloud9,Jungle
Nisqy,Cloud9,Mid
Sneaky,Cloud9,Bot
Diamond,Cloud9,Support
Shiro,Cloud9,Top
Blaber,Cloud9,Jungle
Goldenglue,Cloud9,Mid
Keith,Cloud9,Bot
Zeyzal,Cloud9,Support
Rapidstar,Cloud9,Mid
Reapered,Cloud9,Head Coach
Huni,Clutch Gaming,Top
Lira,Clutch Gaming,Jungle
Damonte,Clutch Gaming,Mid
Cody Sun,Clutch Gaming,Bot
Sun,Clutch Gaming,Mid
Piglet,Clutch Gaming,Bot
Vulcan,Clutch Gaming,Support
,Clutch Gaming,Head Coach
Darshan,Counter Logic Gaming,Top
Wiggily,Counter Logic Gaming,Jungle
PowerOfEvil,Counter Logic Gaming,Mid
Stixxay,Counter Logic Gaming,Bot
Biofrost,Counter Logic Gaming,Support
fallenbandit,Counter Logic Gaming,Top
Moon,Counter Logic Gaming,Jungle
Tuesday,Counter Logic Gaming,Mid
Auto,Counter Logic Gaming,Bot
Weldon,Counter Logic Gaming,Head Coach
Solo,Echo Fox,Top
Fenix,Echo Fox,Mid
Lost,Echo Fox,Bot
Rush,Echo Fox,Jungle
Apollo,Echo Fox,Bot
Spica,Echo Fox,Jungle
Yusui,Echo Fox,Mid
Cake,Echo Fox,Bot
Hakuho,Echo Fox,Support
Fill,Echo Fox,Support
Lourlo,Echo Fox,Top
Ssong,Echo Fox,Head Coach
V1per,FlyQuest,Top
Santorin,FlyQuest,Jungle
Wildturtle,FlyQuest,Bot
Ngo,FlyQuest,Top
Erry,FlyQuest,Bot
JayJ,FlyQuest,Support
Saintvicious,FlyQuest,Head Coach
Contractz,Golden Guardians,Jungle
Froggen,Golden Guardians,Mid
Deftly,Golden Guardians,Bot
Zig,Golden Guardians,Top
Potluck,Golden Guardians,Jungle
bobqin,Golden Guardians,Mid
Benji,Golden Guardians,Bot
Sheep,Golden Guardians,Support
Dhokla,OpTic Gaming,Top
Meteos,OpTic Gaming,Jungle
Crown,OpTic Gaming,Mid
Arrow,OpTic Gaming,Bot
Big,OpTic Gaming,Support
Allorim,OpTic Gaming,Top
Fanatiik,OpTic Gaming,Jungle
Dardoch,OpTic Gaming,Jungle
Gate,OpTic Gaming,Support
Impact,Team Liquid,Top
Xmithie,Team Liquid,Jungle
Jensen,Team Liquid,Mid
Doublelift,Team Liquid,Bot
CoreJJ,Team Liquid,Support
Matt,Team Liquid,Support
Rakin,Team Liquid,Mid
Insanity,Team Liquid,Mid
Shoryu,Team Liquid,Bot
MikeYeung,Team Liquid,Jungle
,Team Liquid,Head Coach
Bjergsen,TSM,Mid
Zven,TSM,Bot
PieCakeLord,TSM,Top
Grig,TSM,Jungle
Ablazeolive,TSM,Mid
Broken Blade,TSM,Top
Smoothie,TSM,Support
Lustboy,TSM,Support
Zikz,TSM,Head Coach
